{'dataset_name': 'NCI1', 'seed': 666, 'num_workers': 1, 'cov_weight': 0.1, 'hyperparams': {'batch_size': 64, 'epochs': 1001, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 4, 'hidden': 128, 'pooling': 'add', 'JK': 'cat', 'method': 'penalty', 'dropout': 0.5, 'exps': 1, 'nonlinear': 'LeakyR0.2', 'aggr': 'add'}, 'commit_id': '09c7fdcf9e91bfcc0fcf535ce1b0d71f54b30449', 'time_stamp': '1613455289', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=NCI1, COMMIT_ID=09c7fdcf9e91bfcc0fcf535ce1b0d71f54b30449
Epoch: 001, Train Loss: 1.6240670, Train Acc: 0.5371722, Test Acc: 0.4987835, Train Cov: 4.3069625
Epoch: 002, Train Loss: 1.1954796, Train Acc: 0.6428765, Test Acc: 0.6350365, Train Cov: 4.2432446
Epoch: 003, Train Loss: 1.0346433, Train Acc: 0.7301974, Test Acc: 0.6909976, Train Cov: 4.1752138
Epoch: 004, Train Loss: 0.9897949, Train Acc: 0.7318194, Test Acc: 0.6836983, Train Cov: 4.0655632
Epoch: 005, Train Loss: 0.9585794, Train Acc: 0.6334144, Test Acc: 0.6034063, Train Cov: 3.9398499
Epoch: 006, Train Loss: 0.9490346, Train Acc: 0.7477697, Test Acc: 0.6909976, Train Cov: 3.8154068
Epoch: 007, Train Loss: 0.9208593, Train Acc: 0.6937010, Test Acc: 0.6715328, Train Cov: 3.6431084
Epoch: 008, Train Loss: 0.8910920, Train Acc: 0.7293863, Test Acc: 0.7153285, Train Cov: 3.4555168
Epoch: 009, Train Loss: 0.8656607, Train Acc: 0.7626386, Test Acc: 0.7128954, Train Cov: 3.2672396
Epoch: 010, Train Loss: 0.8225149, Train Acc: 0.7469586, Test Acc: 0.6958637, Train Cov: 3.0683734
Epoch: 011, Train Loss: 0.8044123, Train Acc: 0.7118140, Test Acc: 0.6788321, Train Cov: 2.8716116
Epoch: 012, Train Loss: 0.7728960, Train Acc: 0.7104623, Test Acc: 0.6642336, Train Cov: 2.6562185
Epoch: 013, Train Loss: 0.7617594, Train Acc: 0.7218167, Test Acc: 0.6788321, Train Cov: 2.4362063
Epoch: 014, Train Loss: 0.7271537, Train Acc: 0.7661530, Test Acc: 0.7372263, Train Cov: 2.2252648
Epoch: 015, Train Loss: 0.7014892, Train Acc: 0.7020816, Test Acc: 0.6618005, Train Cov: 1.9763567
Epoch: 016, Train Loss: 0.6736761, Train Acc: 0.7777778, Test Acc: 0.7007299, Train Cov: 1.7405277
Epoch: 017, Train Loss: 0.6501414, Train Acc: 0.7456069, Test Acc: 0.6958637, Train Cov: 1.4940158
Epoch: 018, Train Loss: 0.6070640, Train Acc: 0.7739930, Test Acc: 0.7153285, Train Cov: 1.2521738
Epoch: 019, Train Loss: 0.5838582, Train Acc: 0.7775074, Test Acc: 0.7518248, Train Cov: 1.0632685
Epoch: 020, Train Loss: 0.5732392, Train Acc: 0.7994052, Test Acc: 0.7177616, Train Cov: 0.8766367
Epoch: 021, Train Loss: 0.5561665, Train Acc: 0.7399297, Test Acc: 0.6715328, Train Cov: 0.7363955
Epoch: 022, Train Loss: 0.5469297, Train Acc: 0.7539876, Test Acc: 0.6836983, Train Cov: 0.6086982
Epoch: 023, Train Loss: 0.5200213, Train Acc: 0.7531765, Test Acc: 0.7274939, Train Cov: 0.5025063
Epoch: 024, Train Loss: 0.5061259, Train Acc: 0.8010273, Test Acc: 0.7518248, Train Cov: 0.4140623
Epoch: 025, Train Loss: 0.4940066, Train Acc: 0.7915653, Test Acc: 0.7445255, Train Cov: 0.3326683
Epoch: 026, Train Loss: 0.4983959, Train Acc: 0.7753447, Test Acc: 0.6885645, Train Cov: 0.2740332
Epoch: 027, Train Loss: 0.4939419, Train Acc: 0.8056231, Test Acc: 0.7372263, Train Cov: 0.2366226
Epoch: 028, Train Loss: 0.4780864, Train Acc: 0.7153285, Test Acc: 0.6812652, Train Cov: 0.2179359
Epoch: 029, Train Loss: 0.4829008, Train Acc: 0.7545283, Test Acc: 0.6666667, Train Cov: 0.1863939
Epoch: 030, Train Loss: 0.4744267, Train Acc: 0.7980535, Test Acc: 0.7493917, Train Cov: 0.1532876
Epoch: 031, Train Loss: 0.4641009, Train Acc: 0.7277643, Test Acc: 0.6836983, Train Cov: 0.1270536
Epoch: 032, Train Loss: 0.4718316, Train Acc: 0.7915653, Test Acc: 0.7177616, Train Cov: 0.1145216
Epoch: 033, Train Loss: 0.4628520, Train Acc: 0.7918356, Test Acc: 0.7274939, Train Cov: 0.1069108
